City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Maruko,JP,36.3167,138.2667,65.93,93,90,2.8,overcast clouds
263,Katsuura,JP,35.1333,140.3,78.91,82,87,13.96,overcast clouds
264,Tsumeb,NA,-19.2333,17.7167,95.23,7,27,7.85,scattered clouds
265,Cacheu,GW,12.2706,-16.1658,91.15,54,71,7.72,broken clouds
266,Daru,PG,-9.0763,143.2092,75.56,88,100,18.66,overcast clouds
267,Shasta Lake,US,40.6804,-122.3708,72.32,45,31,7.38,scattered clouds
268,Abu Dhabi,AE,24.4667,54.3667,95.02,46,0,8.05,clear sky
269,Pathein,MM,16.7833,94.7333,75.45,97,100,4.36,overcast clouds
270,Aromashevo,RU,56.8602,68.6375,40.77,80,99,4.27,overcast clouds
271,Qorveh,IR,35.1664,47.8045,74.89,13,0,15.64,clear sky
272,Coquimbo,CL,-29.9533,-71.3436,60.53,63,0,4.61,clear sky
273,Chapais,CA,49.7834,-74.8492,44.38,68,100,9.82,overcast clouds
274,Bandarbeyla,SO,9.4942,50.8122,80.28,77,41,28.05,scattered clouds
275,Panama City,PA,8.9936,-79.5197,81.18,82,75,4.61,broken clouds
276,Abha,SA,18.2164,42.5053,75.45,41,75,6.91,broken clouds
277,Ximei,CN,24.9639,118.3794,78.35,89,99,3.24,light rain
278,Nieves,PH,15.3274,120.9485,76.3,89,72,1.52,broken clouds
279,Rosetta,EG,31.4044,30.4164,80.51,68,0,19.75,clear sky
280,Purpe,RU,64.4803,76.6897,37.87,98,100,14.61,light rain
281,Yarkovo,RU,57.4028,67.0786,41.34,81,95,3.11,overcast clouds
282,Bethel,US,41.3712,-73.414,77.85,86,90,4.0,overcast clouds
283,Tocopilla,CL,-22.092,-70.1979,67.03,60,3,12.95,clear sky
284,Komsomolets,KZ,53.7453,62.0708,48.24,46,2,5.91,clear sky
285,Cervo,ES,43.6702,-7.4101,75.2,78,90,12.35,overcast clouds
286,Sistranda,NO,63.7256,8.834,50.9,81,100,14.56,overcast clouds
287,Zabolotovka,RU,50.2737,39.3147,50.88,74,100,7.85,light rain
288,Marzuq,YE,14.4,46.4667,90.72,12,4,18.7,clear sky
289,Hamilton,US,39.1834,-84.5333,58.08,87,20,1.99,few clouds
290,Kupino,RU,54.3663,77.2981,38.79,74,88,9.13,overcast clouds
291,Neuquen,AR,-38.9516,-68.0591,60.69,44,0,5.75,clear sky
292,Bad Durrenberg,DE,51.3,12.0667,73.87,45,0,25.32,clear sky
293,Sur,OM,22.5667,59.5289,89.19,55,6,2.21,clear sky
294,Campiglia Marittima,IT,43.0602,10.6152,81.52,47,11,5.97,few clouds
295,Faanui,PF,-16.4833,-151.75,76.8,73,15,9.86,light rain
296,Alofi,NU,-19.0595,-169.9187,74.57,65,42,16.75,scattered clouds
297,Vaitape,PF,-16.5167,-151.75,76.78,73,16,9.75,light rain
298,Kathu,TH,7.9178,98.3332,78.62,81,96,9.1,overcast clouds
299,Ashtian,IR,34.5217,50.0019,77.58,5,0,14.52,clear sky
300,Lourdes,FR,43.1,-0.05,71.08,60,75,8.05,broken clouds
301,Esperance,AU,-33.8667,121.9,54.12,71,71,13.8,broken clouds
302,Hay River,CA,60.8156,-115.7999,41.9,85,100,16.71,overcast clouds
303,Zyryanka,RU,65.75,150.85,35.6,67,8,6.46,clear sky
304,Garissa,KE,-0.4536,39.6401,89.11,36,88,17.72,overcast clouds
305,Guerrero Negro,MX,27.9769,-114.0611,71.44,83,7,4.52,clear sky
306,Gualeguay,AR,-33.1416,-59.3097,57.7,84,100,4.12,overcast clouds
307,Chivasso,IT,45.1894,7.8872,78.01,48,40,2.3,scattered clouds
308,Noumea,NC,-22.2763,166.4572,62.58,65,2,8.5,clear sky
309,Bengkulu,ID,-3.8004,102.2655,77.67,88,82,2.66,light rain
310,Mino,JP,34.8269,135.4706,74.43,67,91,6.22,overcast clouds
311,Grindavik,IS,63.8424,-22.4338,41.47,87,90,23.02,overcast clouds
312,Soe,ID,-9.8607,124.284,63.3,76,33,3.85,scattered clouds
313,Shaunavon,CA,49.6501,-108.4181,52.68,63,99,3.44,overcast clouds
314,Tsaratanana,MG,-16.7833,47.65,84.81,32,0,12.28,clear sky
315,Miandrivazo,MG,-19.5167,45.4667,83.32,40,98,2.46,light rain
316,Manokwari,ID,-0.8667,134.0833,78.75,83,98,7.7,moderate rain
317,Pozo Colorado,PY,-23.4923,-58.7972,83.82,35,94,6.76,overcast clouds
318,Yar-Sale,RU,66.8333,70.8333,41.14,72,100,15.73,overcast clouds
319,Indramayu,ID,-6.3264,108.32,83.08,75,74,9.33,broken clouds
320,Rocha,UY,-34.4833,-54.3333,60.87,69,100,5.44,overcast clouds
321,Chake Chake,TZ,-5.2459,39.7666,80.49,63,7,9.04,clear sky
322,Ulaanbaatar,MN,47.9077,106.8832,35.73,64,0,2.24,clear sky
323,Pitimbu,BR,-7.4706,-34.8086,86.59,65,34,12.97,scattered clouds
324,Peabiru,BR,-23.9128,-52.3431,74.59,32,90,8.77,overcast clouds
325,Taltal,CL,-25.4,-70.4833,64.42,60,2,7.47,clear sky
326,Port-Gentil,GA,-0.7193,8.7815,78.66,81,21,10.47,few clouds
327,Lahat,ID,-3.8,103.5333,74.08,95,60,3.15,broken clouds
328,Corinto,GR,37.9407,22.9573,72.41,48,19,5.75,few clouds
329,Koslan,RU,63.4564,48.8989,46.35,73,3,5.61,clear sky
